"Study GUID","Guideline ID","Part / document","Reference ID","Reference"
"CG73ST1","CG73","","ST1","1    National Institute for Health and Clinical Excellence. Guidelines Manual. UK: London: National Institute for Health and Clinical Excellence, 2007."
"CG73ST2","CG73","","ST2","2    Department of Health. National Service Framework for Renal Services – Part Two: Chronic kidney disease, acute renal failure and end of life care. London: UK: Department of Health, 2005."
"CG73ST3","CG73","","ST3","3    Arora P, Obrador GT, Ruthazer R et al. Prevalence, predictors,  and  consequences  of  late  nephrology referral at a tertiary care center. Journal of the American Society of Nephrology. 1999; 10(6):1281–1286."
"CG73ST4","CG73","","ST4","4    Innes A, Rowe PA, Burden RP et al. Early deaths on renal replacement therapy: the need for early nephrological referral. Nephrology Dialysis and Transplantation. 1992; 7(6):467–471."
"CG73ST5","CG73","","ST5","5    Jungers P, Zingraff J, Albouze G et al. Late referral to maintenance dialysis: detrimental consequences.Nephrology Dialysis and Transplantation. 1993; 8(10):1089–1093."
"CG73ST6","CG73","","ST6","6    Ratcliffe PJ, Phillips RE, Oliver DO. Late referral for maintenance dialysis. British Medical Journal Clinical Research Ed. 1984; 288(6415):441–443."
"CG73ST7","CG73","","ST7","7    Sesso R, Belasco AG. Late diagnosis of chronic renal failure and mortality on maintenance dialysis. ephrology Dialysis and Transplantation. 1996; 11(12):2417–2420."
"CG73ST8","CG73","","ST8","8    Lameire N, Van BW. The pattern of referral of patients with end-stage renal disease to the nephrologist— a European survey. Nephrology Dialysis and Transplantation. 1999; 14 Suppl 6:16–23, 1999:16–23."
"CG73ST9","CG73","","ST9","9    Ansell D, Feest T, Hodsman A, and Rao, R. UK Renal Registry, The Renal Associaton, The Ninth Annual Report. Bristol, UK: UK Renal Registry, 2006."
"CG73ST10","CG73","","ST10","10    Drey N, Roderick P, Mullee M et al. A population-based study of the incidence and outcomes of diagnosed chronic kidney disease. American Journal of Kidney Diseases. 2003; 42(4):677–684."
"CG73ST11","CG73","","ST11","11    John R, Webb M, Young A et al. Unreferred chronic kidney disease: a longitudinal study. American Journal of Kidney Diseases. 2004; 43(5):825–835."
"CG73ST12","CG73","","ST12","12    Keith DS, Nichols GA, Gullion CM et al. Longitudinal follow-up and outcomes among a population with chronic kidney disease in a large managed care organization. Archives of Internal Medicine. 2004; 164(6): 659–663."
"CG73ST13","CG73","","ST13","13    Go AS, Chertow GM, Fan D et al. Chronic kidney disease and the risks of death, cardiovascular events, and hospitalization. New England Journal of Medicine. 2004; 351(13):1296–1305 +1370."
"CG73ST14","CG73","","ST14","14    Levey AS, Atkins R, Coresh J et al. Chronic kidney disease as a global public health problem: approaches and initiatives – a position statement from Kidney Disease Improving Global Outcomes. Kidney International. 2007; 72(3):247–259."
"CG73ST15","CG73","","ST15","15    Royal College of Physicians. Chronic kidney diseases in adults: UK guidelines for identification, management and referral. London: RCP, 2006."
"CG73ST16","CG73","","ST16","16    Department of Health. Estimated Glomerular Filtration Rate (eGFR). London: DH, 2007."
"CG73ST17","CG73","","ST17","17    Quality and Outcomes Framework (QOF). Available from: Department of Health. Last accessed on: Feb. 28, 2008."
"CG73ST18","CG73","","ST18","18    Office for National Statistics. Office for National Statistics population and Vital Statistics, England And Wales. 3-12-2007. http://www.statistics.gov.uk/"
"CG73ST19","CG73","","ST19","19    Stevens PE, O’Donoghue DJ, de Lusignan S et al. Chronic kidney disease management in the United Kingdom: NEOERICA project results. Kidney International. 2007; 72(1):92–99."
"CG73ST20","CG73","","ST20","20    Coresh J, Astor BC, Greene T et al. Prevalence of chronic kidney disease and decreased kidney function in the adult US population: Third National Health and Nutrition Examination Survey. American Journal of Kidney Diseases. 2003; 41(1):1–12."
"CG73ST21","CG73","","ST21","21    Centers for Disease Control and Prevention. National Health and Nutrition Examination Survey. Available from: Centers for Disease Control and Prevention. Last accessed on: Feb. 28, 2008."
"CG73ST22","CG73","","ST22","22    Coresh J, Selvin E, Stevens LA et al. Prevalence of chronic kidney disease in the United States. JAMA : the Journal of the American Medical Association. 2007; 298(17):2038–2047."
"CG73ST23","CG73","","ST23","23    Roderick PJ, Raleigh VS, Hallam L et al. The need and demand for renal replacement therapy in ethnic minorities in England. Journal of Epidemiology and Community Health. 1996; 50(3):334–339."
"CG73ST24","CG73","","ST24","24    McClellan W, Warnock DG, McClure L et al. Racial differences in the prevalence of chronic kidney disease among participants in the Reasons for Geographic and Racial Differences in Stroke (REGARDS) Cohort Study. Journal of the American Society of Nephrology. 2006; 17(6):1710–1715."
"CG73ST25","CG73","","ST25","25    Kidney Research UK. Summaries of the ABLE Projects. Available from: Kidney Research UK. Last accessed on: June 19, 2006."
"CG73ST26","CG73","","ST26","26    National Institute for Health and Clinical Excellence. Brief interventions and referral for smoking cessation in primary care and other settings. (PHI001). London: UK: National Institute for Health and Clinical Excellence, 2006."
"CG73ST27","CG73","","ST27","27    National Institute for Health and Clinical Excellence. Anaemia management in people with chronic kidney disease (CKD). (CG39). London: UK: National Institute for Health and Clinical Excellence, 2006."
"CG73ST28","CG73","","ST28","28    National Institute for Health and Clinical Excellence. Hypertension: management of hypertension in adults in primary care. (CG34). London: UK: National Institute for Health and Clinical Excellence, 2006."
"CG73ST29","CG73","","ST29","29    National Institute for Health and Clinical Excellence. Type 2 diabetes: the management of type 2 diabetes (update). (CG 66). London: UK: National Institute for Health and Clinical Excellence, 2008."
"CG73ST30","CG73","","ST30","30    National Institute for Health and Clinical Excellence. Cardiovascular risk assessment: the modification of blood lipids for the primary and secondary prevention of cardiovascular disease. 2008. http://www.nice. org.uk/guidance/index.jsp?action=byID&o=11628"
"CG73ST31","CG73","","ST31","31    National Institute for Health and Clinical Excellence. Osteoporosis: assessment of fracture risk and the prevention of osteoporotic fractures in individuals at high risk. 2008. London: UK, National Institute for Health and Clinical Excellence."
"CG73ST32","CG73","","ST32","32    Scottish Intercollegiate Guidelines Network. Chronic Kidney Disease. Edinburgh: SIGN, 2008."
"CG73ST33","CG73","","ST33","33    Taal, M. UK Renal Association Clinical Practice Guidelines. The Renal Association, London, 2007."
"CG73ST34","CG73","","ST34","34    Archibald G, Bartlett W, Brown A, Christie B, Eliott A. UK Consensus Conference on Early Chronic Kidney Disease. 2008."
"CG73ST35","CG73","","ST35","35    National Kidney Foundation. K/DOQI clinical practice guidelines for chronic kidney disease: evaluation, classification, and stratification. American Journal of Kidney Diseases. 2002; 39(2:Suppl 1):S1–S266."
"CG73ST36","CG73","","ST36","36    Caring for Australasians with Renal Impairment (CARI) Steering Committee. Proteinuria—CARI guidelines. Australian Family Physician. 2005; 34(11):942–943."
"CG73ST37","CG73","","ST37","37    Kidney Disease:: improving globlal outcomes (KDIGO). Available from: Kidney Disease: Improving Global Outcomes (KDIGO). Last accessed on: Feb. 28, 2008."
"CG73ST38","CG73","","ST38","38    Burkhardt H, Hahn T, Gretz N et al. Bedside estimation of the glomerular filtration rate in hospitalized elderly patients. Nephron Clinical Practice. 2005; 101(1):c1–c8."
"CG73ST39","CG73","","ST39","39    Lamb EJ, Webb MC, Simpson DE et al. Estimation of glomerular filtration rate in older patients with chronic renal insufficiency: is the modification of diet in renal disease formula an improvement? Journal of the American Geriatrics Society. 2003; 51(7):1012–1017."
"CG73ST40","CG73","","ST40","40    Harmoinen A, Lehtimaki T, Korpela M et al. Diagnostic accuracies of plasma creatinine, cystatin C, and glomerular filtration rate calculated by the Cockcroft-Gault and Levey (MDRD) formulas. Clinical Chemistry. 2003; 49(7):1223–1225."
"CG73ST41","CG73","","ST41","41    Hojs R, Bevc S, Ekart R et al. Serum cystatin C as an endogenous marker of renal function in patients with mild to moderate impairment of kidney function. Nephrology Dialysis and Transplantation. 2006; 21(7):1855–1862."
"CG73ST42","CG73","","ST42","42    Bicik Z, Bahcebasi T, Kulaksizoglu S et al. The efficacy of cystatin C assay in the prediction of glomerular filtration rate. Is it a more reliable marker for renal failure? Clinical Chemistry & Laboratory Medicine. 2005; 43(8):855–861."
"CG73ST43","CG73","","ST43","43    Hayashi T, Nitta K, Uchida K et al. Clinical assessment of serum cystatin C as a marker of glomerular filtration rate in patients with various renal diseases. Clinical & Experimental Nephrology. 2000; 4(2): 133–136."
"CG73ST44","CG73","","ST44","44    Christensson AG, Grubb AO, Nilsson JA et al. Serum cystatin C advantageous compared with serum creatinine in the detection of mild but not severe diabetic nephropathy. Journal of Internal Medicine. 2004; 256(6):510–518."
"CG73ST45","CG73","","ST45","45    Mahajan S, Mukhiya GK, Singh R et al. Assessing glomerular filtration rate in healthy Indian adults: a comparison of various prediction equations. Journal of Nephrology. 2005; 18(3):257–261."
"CG73ST46","CG73","","ST46","46    Rigalleau V, Lasseur C, Perlemoine C et al. Estimation of glomerular filtration rate in diabetic subjects: Cockcroft formula or modification of diet in renal disease study equation? Diabetes Care. 2005;28(4): 838–843."
"CG73ST47","CG73","","ST47","47    Rigalleau V, Lasseur C, Perlemoine C et al. A simplified Cockcroft-Gault formula to improve the prediction of the glomerular filtration rate in diabetic patients. Diabetes & Metabolism. 2006; 32(1):56–62."
"CG73ST48","CG73","","ST48","48    Bostom AG, Kronenberg F, Ritz E. Predictive performance of renal function equations for patients with chronic kidney disease and normal serum creatinine levels. Journal of the American Society of Nephrology. 2002; 13(8):2140–2144."
"CG73ST49","CG73","","ST49","49    Spinler SA, Nawarskas JJ, Boyce EG et al. Predictive performance of ten equations for estimating creatinine clearance in cardiac patients. Iohexol Cooperative Study Group. Annals of Pharmacotherapy. 1998; 32(12): 1275–1283."
"CG73ST50","CG73","","ST50","50    Poggio ED, Wang X, Greene T et al. Performance of the modification of diet in renal disease and Cockcroft-Gault equations in the estimation of GFR in health and in chronic kidney disease. Journal of the American Society of Nephrology. 2005; 16(2):459–466."
"CG73ST51","CG73","","ST51","51    Hallan S, Asberg A, Lindberg M et al. Validation of the modification of diet in renal disease formula for estimating GFR with special emphasis on calibration of the serum creatinine assay. American Journal of Kidney Diseases. 2004; 44(1):84–93."
"CG73ST52","CG73","","ST52","52    Froissart M, Rossert J, Jacquot C et al. Predictive performance of the modification of diet in renal disease and Cockcroft-Gault equations for estimating renal function. Journal of the American Society of Nephrology. 2005; 16(3):763–773."
"CG73ST53","CG73","","ST53","53    Ibrahim H, Mondress M, Tello A et al. An alternative formula to the Cockcroft-Gault and the modification of diet in renal diseases formulas in predicting GFR in individuals with type 1 diabetes. Journal of the American Society of Nephrology. 2005; 16(4):1051–1060."
"CG73ST54","CG73","","ST54","54    Levey AS, Coresh J, Greene T et al. Using standardized serum creatinine values in the modification of diet in renal disease study equation for estimating glomerular filtration rate. Annals of Internal Medicine. 2006; 145(4):247–254."
"CG73ST55","CG73","","ST55","55    Ricos C, Iglesias N, Garcia-Lario JV et al. Within-subject biological variation in disease: collated data and clinical consequences. Annals of Clinical Biochemistry. 2007; 44(Pt 4):343–352."
"CG73ST56","CG73","","ST56","56    Fraser CG, Williams P. Short-term biological variation of plasma analytes in renal disease. Clinical Chemistry. 1983; 29(3):508–510."
"CG73ST57","CG73","","ST57","57    Holzel WG. Intra-individual variation of some analytes in serum of patients with chronic renal failure. Clinical Chemistry. 1987; 33(5):670–673."
"CG73ST58","CG73","","ST58","58    Holzel WG. Intra-individual variation of some analytes in serum of patients with insulin-dependent diabetes mellitus. Clinical Chemistry. 1987; 33(1):57–61."
"CG73ST59","CG73","","ST59","59    Shepherd J, Warner M, Kilpatrick E. Stabilty of creatinine with delayed separation of whole blood and implications for eGFR. Annals of Clinical Biochemistry. 2007; 44(4):384–387."
"CG73ST60","CG73","","ST60","60    Ford L, Berg J. Delay in separating blood samples affects creatinine measurement using the Roche kinetic Jaffe method. Annals of Clinical Biochemistry. 2008; 45(1):83–87."
"CG73ST61","CG73","","ST61","61    Rapoport A, Husdan H. Endogenous creatinine clearance and serum creatinine in the clinical assessment of kidney function. Canadian Medical Association Journal. 1968; 99(9):149–156."
"CG73ST62","CG73","","ST62","62    Pasternack A, Kuhlback B. Diurnal variations of serum and urine creatine and creatinine. Scandinavian Journal of Clinical & Laboratory Investigation. 1971; 27(1):1–7."
"CG73ST63","CG73","","ST63","63    Preiss DJ, Godber IM, Lamb EJ et al. The influence of a cooked-meat meal on estimated glomerular filtration rate. Annals of Clinical Biochemistry. 2007; 44(Pt 1):35–42."
"CG73ST64","CG73","","ST64","64    Pinto JR, Bending JJ, Dodds RA et al. Effect of low protein diet on the renal response to meat ingestion in diabetic nephropathy. European Journal of Clinical Investigation. 1991; 21(2):175–183."
"CG73ST65","CG73","","ST65","65    Jacobsen FK, Christensen CK, Mogensen CE et al. Postprandial serum creatinine  increase  in  normal subjects after eating cooked meat. Proceedings of the European Dialysis & Transplant Association. 1979; 16:506–512."
"CG73ST66","CG73","","ST66","66    Mayersohn M, Conrad KA, Achari R. The influence of a cooked meat meal on creatinine plasma concentration and creatinine clearance. British Journal of Clinical Pharmacology. 1983; 15(2):227–230."
"CG73ST67","CG73","","ST67","67    Cameron JS. Common clinical presentations and symptoms in renal disease. Oxford Textbook of Medicine. In: Weatherall DJ, Ledingham JGG, Warell DA (eds), Oxford: UK: Oxford University Press, 1996: 3144–3191."
"CG73ST68","CG73","","ST68","68    Jones GR, Newhouse IJ, Jakobi JM et al. The incidence of hematuria in middle distance track running. Canadian Journal of Applied Physiology. 2001; 26(4):336–349."
"CG73ST69","CG73","","ST69","69    Ritchie CD, Bevan EA, Collier SJ. Importance of occult haematuria found at screening. British Medical Journal. 1986; 292(6521):681–683."
"CG73ST70","CG73","","ST70","70    Britton JP, Dowell AC, Whelan P. Dipstick haematuria and bladder cancer in men over 60: results of a community study. British Medical Journal. 1989; 299(6706):1010–1012."
"CG73ST71","CG73","","ST71","71    Chan RWY, Chow KM, Tam LS et al. Can the urine dipstick test reduce the need for microscopy for assessment of systemic lupus erythematosus disease activity? Journal of Rheumatology. 2005; 32(5): 828–831."
"CG73ST72","CG73","","ST72","72    Chandhoke PS, McAninch JW. Detection and significance of microscopic hematuria in patients with blunt renal trauma. Journal of Urology. 1988; 140(1):16–18."
"CG73ST73","CG73","","ST73","73    Gleeson MJ, Connolly J, Grainger R et al. Comparison of reagent strip (dipstick) and microscopic haematuria in urological out-patients. British Journal of Urology. 1993; 72(5:Pt 1):594–596."
"CG73ST74","CG73","","ST74","74    Arm JP, Peile EB, Rainford DJ et al. Significance of dipstick haematuria. 1. Correlation with microscopy of the urine. British Journal of Urology. 1986; 58(2):211–217."
"CG73ST75","CG73","","ST75","75    Pugia MJ, Wallace JF, Lott JA et al. Albuminuria and proteinuria in hospitalized patients as measured by quantitative and dipstick methods. Journal of Clinical Laboratory Analysis. 2001; 15(5):295–300."
"CG73ST76","CG73","","ST76","76    Konta T, Hao Z, Takasaki S et al. Clinical utility of trace proteinuria for microalbuminuria screening in the general population. Clinical & Experimental Nephrology. 2007; 11(1):51–55."
"CG73ST77","CG73","","ST77","77    Gilbert RE, Akdeniz A, Jerums G. Detection of microalbuminuria in diabetic patients by urinay dipstick. Diabetes Research & Clinical Practice. 1997; 35(1):57–60."
"CG73ST78","CG73","","ST78","78    CortesSanabria L, MartinezRamirez HR, Hernandez JL et al. Utility of the dipstick micraltest II in the screening of microalbuminuria of diabetes mellitus type 2 and essential hypertension. Revista de Investigacion Clinica. 2006; 58(3):190–197."
"CG73ST79","CG73","","ST79","79    Waugh JJ, Bell SC, Kilby MD et al. Optimal bedside urinalysis for the detection of proteinuria in hypertensive pregnancy: a study of diagnostic accuracy. BJOG: An International Journal of Obstetrics & Gynaecology. 2005; 112(4):412–417."
"CG73ST80","CG73","","ST80","80    Brown MA, Buddle ML. Inadequacy of dipstick proteinuria in hypertensive pregnancy. Australian & New Zealand Journal of Obstetrics & Gynaecology. 1995; 35(4):366–369."
"CG73ST81","CG73","","ST81","81    Higby K, Suiter CR, Siler KT. A comparison between two screening methods for detection of microproteinuria. American Journal of Obstetrics & Gynecology. 1995; 173(4):1111–1114."
"CG73ST82","CG73","","ST82","82    Meyer NL, Mercer BM, Friedman SA et al. Urinary dipstick protein: a poor predictor of absent or severe proteinuria. American Journal of Obstetrics & Gynecology. 1994; 170(1:Pt 1):137–141."
"CG73ST83","CG73","","ST83","83    Paruk F, Moodley J, Daya PK et al. Screening for proteinuria in hypertensive disorders of pregnancy. Journal of Obstetrics & Gynaecology. 1997; 17(6):528–530."
"CG73ST84","CG73","","ST84","84    Saudan PJ, Brown MA, Farrell T et al. Improved methods of assessing proteinuria in hypertensive pregnancy. British Journal of Obstetrics & Gynaecology. 1997; 104(10):1159–1164."
"CG73ST85","CG73","","ST85","85    Gai M, Motta D, Giunti S et al. Comparison between 24-h proteinuria, urinary protein/creatinine ratio and dipstick test in patients with nephropathy: Patterns of proteinuria in dipstick-negative patients. Scandinavian Journal of Clinical & Laboratory Investigation. 2006; 66(4):299–308."
"CG73ST86","CG73","","ST86","86  Agarwal R, Panesar A, Lewis RR. Dipstick proteinuria: Can it guide hypertension management? American Journal of Kidney Diseases. 2002; 39(6):1190–1195."
"CG73ST87","CG73","","ST87","87  Tissot E, Woronoff-Lemsi MC, Cornette C et al. Cost-effectiveness of urinary dipsticks to screen asymptomatic catheter-associated urinary infections in an intensive care unit. Intensive Care Med. 2001; 27(12):1842–1847."
"CG73ST88","CG73","","ST88","88  Waugh J, Bell SC, Kilby M et al. Effect of concentration and biochemical assay on the accuracy of urine dipsticks in hypertensive pregnancies. Hypertension in Pregnancy. 2001; 20(2):205–217."
"CG73ST89","CG73","","ST89","89  Dube J, Girouard J, Leclerc P et al. Problems with the estimation of urine protein by automated assays. Clinical Biochemistry. 2005; 38(5):479–485."
"CG73ST90","CG73","","ST90","90  Ballantyne FC, Gibbons J, O’Reilly DS. Urine albumin should replace total protein for the assessment of glomerular proteinuria. Annals of Clinical Biochemistry. 1993; 30(Pt 1):101–103."
"CG73ST91","CG73","","ST91","91  Shihabi ZK, Konen JC, O’Connor ML. Albuminuria vs urinary total protein for detecting chronic renal disorders. Clinical Chemistry. 1991; 37(5):621–624."
"CG73ST92","CG73","","ST92","92  Price CP, Newall RG, Boyd JC. Use of protein:creatinine ratio measurements on random urine samples for prediction of significant proteinuria: a systematic review. Clinical Chemistry. 2005; 51(9):1577–1586."
"CG73ST93","CG73","","ST93","93  Foster MC, Hwang SJ, Larson MG et al. Cross-classification of microalbuminuria and reduced glomerular filtration rate: associations between cardiovascular disease risk factors and clinical outcomes. Arch Intern Med. 2007; 167(13):1386–1392."
"CG73ST94","CG73","","ST94","94  Hallan S, Astor B, Romundstad S et al. Association of kidney function and albuminuria with cardiovascular mortality in older vs younger individuals: The HUNT II Study. Arch Intern Med. 2007; 167(22):2490–2496."
"CG73ST95","CG73","","ST95","95  Cirillo M, Lanti MP, Menotti A et al. Definition of kidney dysfunction as a cardiovascular risk factor: use of urinary albumin excretion and estimated glomerular filtration rate. Arch Intern Med. 2008; 168(6): 617–624."
"CG73ST96","CG73","","ST96","96  Brantsma AH, Bakker SJ, de ZD et al. Extended prognostic value of urinary albumin excretion for cardiovascular events. Journal of the American Society of Nephrology. 2008; advance e-publication."
"CG73ST97","CG73","","ST97","97  Brantsma AH, Atthobari J, Bakker SJ et al. What predicts progression and regression of urinary albumin excretion in the nondiabetic population? Journal of the American Society of Nephrology. 2007; 18(2): 637–645."
"CG73ST98","CG73","","ST98","98  Rodby RA, Rohde RD, Sharon Z et al. The urine protein to creatinine ratio as a predictor of 24-hour urine protein excretion in type 1 diabetic patients with nephropathy. The Collaborative Study Group. American Journal of Kidney Diseases. 1995; 26(6):904–909."
"CG73ST99","CG73","","ST99","99  Ruggenenti P, Gaspari F, Perna A et al. Cross sectional longitudinal study of spot morning urine protein: Creatinine ratio, 24 hour urine protein excretion rate, glomerular filtration rate, and end stage renal failure in chronic renal disease in patients without diabetes. British Medical Journal. 1998; 316(7130):504–509."
"CG73ST100","CG73","","ST100","100  Gatling W, Knight C, Mullee MA et al. Microalbuminuria in diabetes: A population study of the prevalence and an assessment of three screening tests. Diabetic Medicine. 1988; 5(4):343–347."
"CG73ST101","CG73","","ST101","101  Hutchison AS, O’Reilly DSJ, MacCuish AC. Albumin excretion rate, albumin concentration, and albumin/creatinine ratio compared for screening diabetics for slight albuminuria. Clinical Chemistry. 1988; 34(10):2019–2021."
"CG73ST102","CG73","","ST102","102  Marshall SM. Screening for microalbuminuria: Which measurement? Diabetic Medicine. 1991; 8(8): 706–711."
"CG73ST103","CG73","","ST103","103  Chaiken RL, Khawaja R, Bard M et al. Utility of untimed urinary albumin measurements in assessing albuminuria in black NIDDM subjects. Diabetes Care. 1997; 20(5):709–713."
"CG73ST104","CG73","","ST104","104  Gansevoort RT, Verhave JC, Hillege HL et al. The validity of screening based on spot morning urine samples to detect subjects with microalbuminuria in the general population. Kidney International – Supplement. 2005; 67(94):S28–S35."
"CG73ST105","CG73","","ST105","105  Jafar TH, Chaturvedi N, Hatcher J et al. Use of albumin creatinine ratio and urine albumin concentration as a screening test for albuminuria in an Indo-Asian population.[see comment]. Nephrology Dialysis and Transplantation. 2007; 22(8):2194–2200."
"CG73ST106","CG73","","ST106","106  Atkins RC, Briganti EM, Zimmet PZ et al. Association between albuminuria and proteinuria in the general population: the AusDiab Study. Nephrology Dialysis and Transplantation. 2003; 18(10):2170–2174."
"CG73ST107","CG73","","ST107","107  Newman DJ, Thakkar H, Medcalf EA et al. Use of urine albumin measurement as a replacement for total protein. Clinical Nephrology. 1995; 43(2):104–109."
"CG73ST108","CG73","","ST108","108  MacGregor MS, Traynor JP, O’Reilly DSJ et al. Assessing proteinuria in chronic kidney disease: protein–creatinine ratio versus albumin–creatinine ratio. 2007, personal correspondence."
"CG73ST109","CG73","","ST109","109  Lum G. How effective are screening tests for microalbuminuria in random urine specimens? Annals of Clinical & Laboratory Science. 2000; 30(4):406–411."
"CG73ST110","CG73","","ST110","110  Chitalia VC, Kothari J, Wells EJ et al. Cost-benefit analysis and prediction of 24-hour proteinuria from the spot urine protein–creatinine ratio. Clinical Nephrology. 2001; 55(6):436–447."
"CG73ST111","CG73","","ST111","111  Bush WH, Choyke BL, Bluth RI, Casalino DD. Renal failure. National Guidelines Clearing House, 2005. www.guideline.gov"
"CG73ST112","CG73","","ST112","112  Lindeman RD, Tobin J, Shock NW. Longitudinal studies on the rate of decline in renal function with age. Journal of the American Geriatrics Society. 1985; 33(4):278–285."
"CG73ST113","CG73","","ST113","113  Garg AX, Papaioannou A, Ferko N et al. Estimating the prevalence of renal insufficiency in seniors requiring long-term care. Kidney International. 2004; 65(2):649–653."
"CG73ST114","CG73","","ST114","114  Iseki K, Ikemiya Y, Iseki C et al. Proteinuria and the risk of developing end-stage renal disease. Kidney International. 2003; 63(4):1468–1474."
"CG73ST115","CG73","","ST115","115  Klausen K, Borch JK, Feldt RB et al. Very low levels of microalbuminuria are associated with increased risk of coronary heart disease and death independently of renal function, hypertension, and diabetes. Circulation. 2004; 110(1):32–35."
"CG73ST116","CG73","","ST116","116  Hillege HL, Fidler V, Diercks GF et al. Urinary albumin excretion predicts cardiovascular and noncardiovascular mortality in general population. Circulation. 2002; 106(14):1777–1782."
"CG73ST117","CG73","","ST117","117  Arnlov J, Evans JC, Meigs JB et al. Low-grade albuminuria and incidence of cardiovascular disease events in nonhypertensive and nondiabetic individuals: the Framingham Heart Study. Circulation. 2005; 112(7): 969–975."
"CG73ST118","CG73","","ST118","118  Rahman M, Pressel S, Davis BR et al. Cardiovascular outcomes in high-risk hypertensive patients stratified by baseline glomerular filtration rate.[see comment][summary for patients in Ann Intern Med. 2006 Feb 7; 144(3):I33; PMID: 16461958]. Annals of Internal Medicine. 2006; 144(3):172–180."
"CG73ST119","CG73","","ST119","119  Tokmakova MP, Skali H, Kenchaiah S et al. Chronic kidney disease, cardiovascular risk, and response to angiotensin-converting enzyme inhibition after myocardial infarction: the Survival And Ventricular Enlargement (SAVE) study. Circulation. 2004; 110(24):3667–3673."
"CG73ST120","CG73","","ST120","120  Wright RS, Reeder GS, Herzog CA et al. Acute myocardial infarction and renal dysfunction: a high-risk combination. Annals of Internal Medicine. 2002; 137(7):563–570."
"CG73ST121","CG73","","ST121","121  Hillege HL, Nitsch D, Pfeffer MA et al. Renal function as a predictor of outcome in a broad spectrum of patients with heart failure. Circulation. 2006; 113(5):671–678."
"CG73ST122","CG73","","ST122","122  Keough RMT, Kiberd BA, Dipchand CS et al. Outcomes of acute coronary syndrome in a large Canadian cohort: impact of chronic renal insufficiency, cardiac interventions, and anemia. American Journal of Kidney Diseases. 2005; 46(5):845–855."
"CG73ST123","CG73","","ST123","123  Beddhu S, Allen BK, Cheung AK et al. Impact of renal failure on the risk of myocardial infarction and death. Kidney International. 2002; 62(5):1776–1783."
"CG73ST124","CG73","","ST124","124  Kurella M, Yaffe K, Shlipak MG et al. Chronic kidney disease and cognitive impairment in menopausal women. American Journal of Kidney Diseases. 2005; 45(1):66–76."
"CG73ST125","CG73","","ST125","125  O’Hare AM, Bertenthal D, Shlipak MG et al. Impact of renal insufficiency on mortality in advanced lower extremity peripheral arterial disease. Journal of the American Society of Nephrology. 2005; 16(2):514–519."
"CG73ST126","CG73","","ST126","126  Gullion CM, Keith DS, Nichols GA et al. Impact of comorbidities on mortality in managed care patients with CKD. American Journal of Kidney Diseases. 2006; 48(2):212–220."
"CG73ST127","CG73","","ST127","127  McCullough PA, Jurkovitz CT, Pergola PE et al. Independent components of chronic kidney disease as a cardiovascular risk state: results from the Kidney Early Evaluation Program (KEEP). Arch Internal Medicine. 2007; 167(11):1122–1129."
