"Search Strategy GUID","Strategy Type","Population","Study Type","Database","Year","Intervention","Outcome","Comparator"
"CG173SS1","Database search","Adult with neuropathic pain managed in non-specialist setting","RCT & Systematic Reviews","CINAHL",".","drug as monotherapy: Tricyclic antidepressants (TCAs), Selective serotonin reuptake inhibitors (SSRIs), Selective serotonin reuptake inhibitors (SSRIs), Other antidepressant drugs, Antiepileptics,  Opioid analgesics, Additional drugs ","Patient-reported pain relief/intensity reduction measured on any standard subjective scale such as:
Visual analogue scales (VAS), verbal rating scales (VRS), and numerical rating scales (NRS) (against baseline)
Proportion of patients who attained a particular level of global improvement or pain relief/intensity reduction (ie. 30% or 50% or greater from baseline)
? Patient-reported global improvement.
? Patient-reported improvement in daily physical and emotional functioning, including sleep.
? Major adverse effects (defined as leading to withdrawal from treatment), and minor adverse effects (all adverse effects noted in patients’ reports).
[based on the IMMPACT Recommendations, Dworkin et al. (2005)]
? Overall improvement in quality of life.
? Treatment withdrawal
? Use of rescue medication",""
"CG173SS2","Database search","Adult with neuropathic pain managed in non-specialist setting","RCTs","Cochrane Central Register of Controlled Trials",".","drug as monotherapy: Tricyclic antidepressants (TCAs), Selective serotonin reuptake inhibitors (SSRIs), Selective serotonin reuptake inhibitors (SSRIs), Other antidepressant drugs, Antiepileptics,  Opioid analgesics, Additional drugs ","Patient-reported pain relief/intensity reduction measured on any standard subjective scale such as:
Visual analogue scales (VAS), verbal rating scales (VRS), and numerical rating scales (NRS) (against baseline)
Proportion of patients who attained a particular level of global improvement or pain relief/intensity reduction (ie. 30% or 50% or greater from baseline)
? Patient-reported global improvement.
? Patient-reported improvement in daily physical and emotional functioning, including sleep.
? Major adverse effects (defined as leading to withdrawal from treatment), and minor adverse effects (all adverse effects noted in patients’ reports).
[based on the IMMPACT Recommendations, Dworkin et al. (2005)]
? Overall improvement in quality of life.
? Treatment withdrawal
? Use of rescue medication",""
"CG173SS3","Database search","Adult with neuropathic pain managed in non-specialist setting","Systematic Reviews","Cochrane Database of Systematic Reviews",".","drug as monotherapy: Tricyclic antidepressants (TCAs), Selective serotonin reuptake inhibitors (SSRIs), Selective serotonin reuptake inhibitors (SSRIs), Other antidepressant drugs, Antiepileptics,  Opioid analgesics, Additional drugs ","Patient-reported pain relief/intensity reduction measured on any standard subjective scale such as:
Visual analogue scales (VAS), verbal rating scales (VRS), and numerical rating scales (NRS) (against baseline)
Proportion of patients who attained a particular level of global improvement or pain relief/intensity reduction (ie. 30% or 50% or greater from baseline)
? Patient-reported global improvement.
? Patient-reported improvement in daily physical and emotional functioning, including sleep.
? Major adverse effects (defined as leading to withdrawal from treatment), and minor adverse effects (all adverse effects noted in patients’ reports).
[based on the IMMPACT Recommendations, Dworkin et al. (2005)]
? Overall improvement in quality of life.
? Treatment withdrawal
? Use of rescue medication",""
"CG173SS4","Database search","Adult with neuropathic pain managed in non-specialist setting","RCT & Systematic Reviews","Database of Abstracts of Reviews of Effects","","drug as monotherapy: Tricyclic antidepressants (TCAs), Selective serotonin reuptake inhibitors (SSRIs), Selective serotonin reuptake inhibitors (SSRIs), Other antidepressant drugs, Antiepileptics,  Opioid analgesics, Additional drugs ","Patient-reported pain relief/intensity reduction measured on any standard subjective scale such as:
Visual analogue scales (VAS), verbal rating scales (VRS), and numerical rating scales (NRS) (against baseline)
Proportion of patients who attained a particular level of global improvement or pain relief/intensity reduction (ie. 30% or 50% or greater from baseline)
? Patient-reported global improvement.
? Patient-reported improvement in daily physical and emotional functioning, including sleep.
? Major adverse effects (defined as leading to withdrawal from treatment), and minor adverse effects (all adverse effects noted in patients’ reports).
[based on the IMMPACT Recommendations, Dworkin et al. (2005)]
? Overall improvement in quality of life.
? Treatment withdrawal
? Use of rescue medication",""
"CG173SS5","Database search","Adult with neuropathic pain managed in non-specialist setting","RCT & Systematic Reviews","EMBASE","","drug as monotherapy: Tricyclic antidepressants (TCAs), Selective serotonin reuptake inhibitors (SSRIs), Selective serotonin reuptake inhibitors (SSRIs), Other antidepressant drugs, Antiepileptics,  Opioid analgesics, Additional drugs ","Patient-reported pain relief/intensity reduction measured on any standard subjective scale such as:
Visual analogue scales (VAS), verbal rating scales (VRS), and numerical rating scales (NRS) (against baseline)
Proportion of patients who attained a particular level of global improvement or pain relief/intensity reduction (ie. 30% or 50% or greater from baseline)
? Patient-reported global improvement.
? Patient-reported improvement in daily physical and emotional functioning, including sleep.
? Major adverse effects (defined as leading to withdrawal from treatment), and minor adverse effects (all adverse effects noted in patients’ reports).
[based on the IMMPACT Recommendations, Dworkin et al. (2005)]
? Overall improvement in quality of life.
? Treatment withdrawal
? Use of rescue medication",""
"CG173SS6","Database search","Adult with neuropathic pain managed in non-specialist setting","RCT & Systematic Reviews","Health Economic Evaluations Database",".","drug as monotherapy: Tricyclic antidepressants (TCAs), Selective serotonin reuptake inhibitors (SSRIs), Selective serotonin reuptake inhibitors (SSRIs), Other antidepressant drugs, Antiepileptics,  Opioid analgesics, Additional drugs ","Patient-reported pain relief/intensity reduction measured on any standard subjective scale such as:
Visual analogue scales (VAS), verbal rating scales (VRS), and numerical rating scales (NRS) (against baseline)
Proportion of patients who attained a particular level of global improvement or pain relief/intensity reduction (ie. 30% or 50% or greater from baseline)
? Patient-reported global improvement.
? Patient-reported improvement in daily physical and emotional functioning, including sleep.
? Major adverse effects (defined as leading to withdrawal from treatment), and minor adverse effects (all adverse effects noted in patients’ reports).
[based on the IMMPACT Recommendations, Dworkin et al. (2005)]
? Overall improvement in quality of life.
? Treatment withdrawal
? Use of rescue medication",""
"CG173SS7","Database search","Adult with neuropathic pain managed in non-specialist setting","RCT & Systematic Reviews","Health Technology Assessment Database",".","drug as monotherapy: Tricyclic antidepressants (TCAs), Selective serotonin reuptake inhibitors (SSRIs), Selective serotonin reuptake inhibitors (SSRIs), Other antidepressant drugs, Antiepileptics,  Opioid analgesics, Additional drugs ","Patient-reported pain relief/intensity reduction measured on any standard subjective scale such as:
Visual analogue scales (VAS), verbal rating scales (VRS), and numerical rating scales (NRS) (against baseline)
Proportion of patients who attained a particular level of global improvement or pain relief/intensity reduction (ie. 30% or 50% or greater from baseline)
? Patient-reported global improvement.
? Patient-reported improvement in daily physical and emotional functioning, including sleep.
? Major adverse effects (defined as leading to withdrawal from treatment), and minor adverse effects (all adverse effects noted in patients’ reports).
[based on the IMMPACT Recommendations, Dworkin et al. (2005)]
? Overall improvement in quality of life.
? Treatment withdrawal
? Use of rescue medication",""
"CG173SS8","Database search","Adult with neuropathic pain managed in non-specialist setting","RCT & Systematic Reviews","MEDLINE","","drug as monotherapy: Tricyclic antidepressants (TCAs), Selective serotonin reuptake inhibitors (SSRIs), Selective serotonin reuptake inhibitors (SSRIs), Other antidepressant drugs, Antiepileptics,  Opioid analgesics, Additional drugs ","Patient-reported pain relief/intensity reduction measured on any standard subjective scale such as:
Visual analogue scales (VAS), verbal rating scales (VRS), and numerical rating scales (NRS) (against baseline)
Proportion of patients who attained a particular level of global improvement or pain relief/intensity reduction (ie. 30% or 50% or greater from baseline)
? Patient-reported global improvement.
? Patient-reported improvement in daily physical and emotional functioning, including sleep.
? Major adverse effects (defined as leading to withdrawal from treatment), and minor adverse effects (all adverse effects noted in patients’ reports).
[based on the IMMPACT Recommendations, Dworkin et al. (2005)]
? Overall improvement in quality of life.
? Treatment withdrawal
? Use of rescue medication",""
"CG173SS9","Database search","Adult with neuropathic pain managed in non-specialist setting","RCT & Systematic Reviews","NHS Economic Evaluations Database","","drug as monotherapy: Tricyclic antidepressants (TCAs), Selective serotonin reuptake inhibitors (SSRIs), Selective serotonin reuptake inhibitors (SSRIs), Other antidepressant drugs, Antiepileptics,  Opioid analgesics, Additional drugs ","Patient-reported pain relief/intensity reduction measured on any standard subjective scale such as:
Visual analogue scales (VAS), verbal rating scales (VRS), and numerical rating scales (NRS) (against baseline)
Proportion of patients who attained a particular level of global improvement or pain relief/intensity reduction (ie. 30% or 50% or greater from baseline)
? Patient-reported global improvement.
? Patient-reported improvement in daily physical and emotional functioning, including sleep.
? Major adverse effects (defined as leading to withdrawal from treatment), and minor adverse effects (all adverse effects noted in patients’ reports).
[based on the IMMPACT Recommendations, Dworkin et al. (2005)]
? Overall improvement in quality of life.
? Treatment withdrawal
? Use of rescue medication",""
"CG173SS10","Database search","Adult with neuropathic pain managed in non-specialist setting","RCT & Systematic Reviews","CINAHL",".","drug as combined therapy: Tricyclic antidepressants (TCAs), Selective serotonin reuptake inhibitors (SSRIs), Selective serotonin reuptake inhibitors (SSRIs), Other antidepressant drugs, Antiepileptics,  Opioid analgesics, Additional drugs ","Patient-reported pain relief/intensity reduction measured on any standard subjective scale such as:
Visual analogue scales (VAS), verbal rating scales (VRS), and numerical rating scales (NRS) (against baseline)
Proportion of patients who attained a particular level of global improvement or pain relief/intensity reduction (ie. 30% or 50% or greater from baseline)
? Patient-reported global improvement.
? Patient-reported improvement in daily physical and emotional functioning, including sleep.
? Major adverse effects (defined as leading to withdrawal from treatment), and minor adverse effects (all adverse effects noted in patients’ reports).
[based on the IMMPACT Recommendations, Dworkin et al. (2005)]
? Overall improvement in quality of life.
? Treatment withdrawal
? Use of rescue medication",""
"CG173SS11","Database search","Adult with neuropathic pain managed in non-specialist setting","RCTs","Cochrane Central Register of Controlled Trials",".","drug as combined therapy: Tricyclic antidepressants (TCAs), Selective serotonin reuptake inhibitors (SSRIs), Selective serotonin reuptake inhibitors (SSRIs), Other antidepressant drugs, Antiepileptics,  Opioid analgesics, Additional drugs ","Patient-reported pain relief/intensity reduction measured on any standard subjective scale such as:
Visual analogue scales (VAS), verbal rating scales (VRS), and numerical rating scales (NRS) (against baseline)
Proportion of patients who attained a particular level of global improvement or pain relief/intensity reduction (ie. 30% or 50% or greater from baseline)
? Patient-reported global improvement.
? Patient-reported improvement in daily physical and emotional functioning, including sleep.
? Major adverse effects (defined as leading to withdrawal from treatment), and minor adverse effects (all adverse effects noted in patients’ reports).
[based on the IMMPACT Recommendations, Dworkin et al. (2005)]
? Overall improvement in quality of life.
? Treatment withdrawal
? Use of rescue medication",""
"CG173SS12","Database search","Adult with neuropathic pain managed in non-specialist setting","Systematic Reviews","Cochrane Database of Systematic Reviews","","drug as combined therapy: Tricyclic antidepressants (TCAs), Selective serotonin reuptake inhibitors (SSRIs), Selective serotonin reuptake inhibitors (SSRIs), Other antidepressant drugs, Antiepileptics,  Opioid analgesics, Additional drugs ","Patient-reported pain relief/intensity reduction measured on any standard subjective scale such as:
Visual analogue scales (VAS), verbal rating scales (VRS), and numerical rating scales (NRS) (against baseline)
Proportion of patients who attained a particular level of global improvement or pain relief/intensity reduction (ie. 30% or 50% or greater from baseline)
? Patient-reported global improvement.
? Patient-reported improvement in daily physical and emotional functioning, including sleep.
? Major adverse effects (defined as leading to withdrawal from treatment), and minor adverse effects (all adverse effects noted in patients’ reports).
[based on the IMMPACT Recommendations, Dworkin et al. (2005)]
? Overall improvement in quality of life.
? Treatment withdrawal
? Use of rescue medication",""
"CG173SS13","Database search","Adult with neuropathic pain managed in non-specialist setting","RCT & Systematic Reviews","Database of Abstracts of Reviews of Effects","","drug as combined therapy: Tricyclic antidepressants (TCAs), Selective serotonin reuptake inhibitors (SSRIs), Selective serotonin reuptake inhibitors (SSRIs), Other antidepressant drugs, Antiepileptics,  Opioid analgesics, Additional drugs ","Patient-reported pain relief/intensity reduction measured on any standard subjective scale such as:
Visual analogue scales (VAS), verbal rating scales (VRS), and numerical rating scales (NRS) (against baseline)
Proportion of patients who attained a particular level of global improvement or pain relief/intensity reduction (ie. 30% or 50% or greater from baseline)
? Patient-reported global improvement.
? Patient-reported improvement in daily physical and emotional functioning, including sleep.
? Major adverse effects (defined as leading to withdrawal from treatment), and minor adverse effects (all adverse effects noted in patients’ reports).
[based on the IMMPACT Recommendations, Dworkin et al. (2005)]
? Overall improvement in quality of life.
? Treatment withdrawal
? Use of rescue medication",""
"CG173SS14","Database search","Adult with neuropathic pain managed in non-specialist setting","RCT & Systematic Reviews","EMBASE",".","drug as combined therapy: Tricyclic antidepressants (TCAs), Selective serotonin reuptake inhibitors (SSRIs), Selective serotonin reuptake inhibitors (SSRIs), Other antidepressant drugs, Antiepileptics,  Opioid analgesics, Additional drugs ","Patient-reported pain relief/intensity reduction measured on any standard subjective scale such as:
Visual analogue scales (VAS), verbal rating scales (VRS), and numerical rating scales (NRS) (against baseline)
Proportion of patients who attained a particular level of global improvement or pain relief/intensity reduction (ie. 30% or 50% or greater from baseline)
? Patient-reported global improvement.
? Patient-reported improvement in daily physical and emotional functioning, including sleep.
? Major adverse effects (defined as leading to withdrawal from treatment), and minor adverse effects (all adverse effects noted in patients’ reports).
[based on the IMMPACT Recommendations, Dworkin et al. (2005)]
? Overall improvement in quality of life.
? Treatment withdrawal
? Use of rescue medication",""
"CG173SS15","Database search","Adult with neuropathic pain managed in non-specialist setting","RCT & Systematic Reviews","Health Economic Evaluations Database",".","drug as combined therapy: Tricyclic antidepressants (TCAs), Selective serotonin reuptake inhibitors (SSRIs), Selective serotonin reuptake inhibitors (SSRIs), Other antidepressant drugs, Antiepileptics,  Opioid analgesics, Additional drugs ","Patient-reported pain relief/intensity reduction measured on any standard subjective scale such as:
Visual analogue scales (VAS), verbal rating scales (VRS), and numerical rating scales (NRS) (against baseline)
Proportion of patients who attained a particular level of global improvement or pain relief/intensity reduction (ie. 30% or 50% or greater from baseline)
? Patient-reported global improvement.
? Patient-reported improvement in daily physical and emotional functioning, including sleep.
? Major adverse effects (defined as leading to withdrawal from treatment), and minor adverse effects (all adverse effects noted in patients’ reports).
[based on the IMMPACT Recommendations, Dworkin et al. (2005)]
? Overall improvement in quality of life.
? Treatment withdrawal
? Use of rescue medication",""
"CG173SS16","Database search","Adult with neuropathic pain managed in non-specialist setting","RCT & Systematic Reviews","Health Technology Assessment Database","","drug as combined therapy: Tricyclic antidepressants (TCAs), Selective serotonin reuptake inhibitors (SSRIs), Selective serotonin reuptake inhibitors (SSRIs), Other antidepressant drugs, Antiepileptics,  Opioid analgesics, Additional drugs ","Patient-reported pain relief/intensity reduction measured on any standard subjective scale such as:
Visual analogue scales (VAS), verbal rating scales (VRS), and numerical rating scales (NRS) (against baseline)
Proportion of patients who attained a particular level of global improvement or pain relief/intensity reduction (ie. 30% or 50% or greater from baseline)
? Patient-reported global improvement.
? Patient-reported improvement in daily physical and emotional functioning, including sleep.
? Major adverse effects (defined as leading to withdrawal from treatment), and minor adverse effects (all adverse effects noted in patients’ reports).
[based on the IMMPACT Recommendations, Dworkin et al. (2005)]
? Overall improvement in quality of life.
? Treatment withdrawal
? Use of rescue medication",""
"CG173SS17","Database search","Adult with neuropathic pain managed in non-specialist setting","RCT & Systematic Reviews","MEDLINE","","drug as combined therapy: Tricyclic antidepressants (TCAs), Selective serotonin reuptake inhibitors (SSRIs), Selective serotonin reuptake inhibitors (SSRIs), Other antidepressant drugs, Antiepileptics,  Opioid analgesics, Additional drugs ","Patient-reported pain relief/intensity reduction measured on any standard subjective scale such as:
Visual analogue scales (VAS), verbal rating scales (VRS), and numerical rating scales (NRS) (against baseline)
Proportion of patients who attained a particular level of global improvement or pain relief/intensity reduction (ie. 30% or 50% or greater from baseline)
? Patient-reported global improvement.
? Patient-reported improvement in daily physical and emotional functioning, including sleep.
? Major adverse effects (defined as leading to withdrawal from treatment), and minor adverse effects (all adverse effects noted in patients’ reports).
[based on the IMMPACT Recommendations, Dworkin et al. (2005)]
? Overall improvement in quality of life.
? Treatment withdrawal
? Use of rescue medication",""
"CG173SS18","Database search","Adult with neuropathic pain managed in non-specialist setting","RCT & Systematic Reviews","NHS Economic Evaluations Database","","drug as combined therapy: Tricyclic antidepressants (TCAs), Selective serotonin reuptake inhibitors (SSRIs), Selective serotonin reuptake inhibitors (SSRIs), Other antidepressant drugs, Antiepileptics,  Opioid analgesics, Additional drugs ","Patient-reported pain relief/intensity reduction measured on any standard subjective scale such as:
Visual analogue scales (VAS), verbal rating scales (VRS), and numerical rating scales (NRS) (against baseline)
Proportion of patients who attained a particular level of global improvement or pain relief/intensity reduction (ie. 30% or 50% or greater from baseline)
? Patient-reported global improvement.
? Patient-reported improvement in daily physical and emotional functioning, including sleep.
? Major adverse effects (defined as leading to withdrawal from treatment), and minor adverse effects (all adverse effects noted in patients’ reports).
[based on the IMMPACT Recommendations, Dworkin et al. (2005)]
? Overall improvement in quality of life.
? Treatment withdrawal
? Use of rescue medication",""
"IPG257SS1","Database search","Adult T1DM","Clinical studies","Medline","to 23/7/2007","Allogeneic pancreatic islet cell transplantation","Saftey/efficacy","."
"IPG257SS2","Database search","Adult T1DM","Clinical studies","PreMedline","to 23/7/2007","Allogeneic pancreatic islet cell transplantation","Saftey/efficacy","."
"IPG257SS3","Database search","Adult T1DM","Clinical studies","EMBASE","to 23/7/2007","Allogeneic pancreatic islet cell transplantation","Saftey/efficacy","."
"IPG257SS4","Database search","Adult T1DM","Clinical studies","Cochrane Library","to 23/7/2007","Allogeneic pancreatic islet cell transplantation","Saftey/efficacy","."
"IPG257SS5","Database search","Adult T1DM","Clinical studies","CRD databases","to 23/7/2007","Allogeneic pancreatic islet cell transplantation","Saftey/efficacy","."
"IPG257SS6","Database search","Adult T1DM","Clinical studies","CINAHL","to 23/7/2007","Allogeneic pancreatic islet cell transplantation","Saftey/efficacy","."
"IPG257SS7","Database search","Adult T1DM","Clinical studies","BLIC","to 23/7/2007","Allogeneic pancreatic islet cell transplantation","Saftey/efficacy","."
"IPG257SS8","Database search","Adult T1DM","Clinical studies","National Research Registry","to 23/7/2007","Allogeneic pancreatic islet cell transplantation","Saftey/efficacy",""
"IPG257SS9","Database search","Adult T1DM","Clinical studies","Controlled Trials Registry","to 23/7/2007","Allogeneic pancreatic islet cell transplantation","Saftey/efficacy",""
"IPG257SS10","Internet","Adult T1DM","Clinical studies",".","to 23/7/2007","Allogeneic pancreatic islet cell transplantation","Saftey/efficacy","."
"TA15201","Database search","Adults with CAD suitable for treatment with PCI","RCTs, Systematic Reviews, Non-RCTs, including case control or uncontrolled study 
designs 
","CDSR, CENTRAL, DARE, EMBASE, MEDLINE, HTA, ISI Web of Science Proceeding, ISI Web of Science SCI Expanded, NHSEED","Dec 2002-June 2005","DES","Combined event rate (major adverse cardiac events - MACE, 
target vessel failure - TVF) or event free survival 
• Mortality (all cause, cardiac) 
• Acute Myocardial Infarction (AMI) 
• Target Lesion Revascularisation (TLR) 
• Target Vessel Revascularisation (TVR) 
• Repeat revascularisation (PCI/stent, other PCI or CABG) 
• Adverse effects (thrombosis, mal-absorption; incomplete stent 
apposition; device failures/defects) 
Angiographic: 
• Angiographic binary restenosis 
• Late loss 
Health related quality of life.  
Economic: 
• Incremental cost per QALY","non- drug eluding stents, DES v DES"
"TA152SS02","Internet","Adults with CAD suitable for treatment with PCI","?","http://edina.ac.uk/biosis/, Cardiovascular Revascularization Therapies, (www.crtonline.com), ClinicalTrials.gov – National Institutes of Health database (http://www.clinicaltrials.gov) 
, The heart.org (www.theheart.org), Transcatheter Cardiovascular Therapeutics (www.tctmd.com), Trends in Medicine (http://www.trends-in-medicine.com), Google Scholar http://www.scholar.google.com/advanced_scholar_search), ced_scholar_search) , TRIP Database plus (http://www.tripdatabase.com), conference abstracts

 
","","DES","Combined event rate (major adverse cardiac events - MACE, 
target vessel failure - TVF) or event free survival 
• Mortality (all cause, cardiac) 
• Acute Myocardial Infarction (AMI) 
• Target Lesion Revascularisation (TLR) 
• Target Vessel Revascularisation (TVR) 
• Repeat revascularisation (PCI/stent, other PCI or CABG) 
• Adverse effects (thrombosis, mal-absorption; incomplete stent 
apposition; device failures/defects) 
Angiographic: 
• Angiographic binary restenosis 
• Late loss 
Health related quality of life.  
Economic: 
• Incremental cost per QALY","other DES"
"TA71SS01","Database search","Adult with stable angina and Acute Coronary Syndrome (ACS):","RCTs, economic evaluations","CCTR (Cochrane Controlled Trials Register) 
• CDSR (Cochrane Database of Systematic Reviews) 
• DARE (Database of Abstracts of Reviews of Effectiveness) 
• EMBASE 
• Health Technology Assessment (HTA) database 
• ISTP (Index to Scientific & Technical Proceedings) 
• MEDLINE 
• NHS EED (NHS Economic Evaluation Database) 
• Science Citation Index","Jan 1999-August 2002"," Stent  ","Clinical: One or more of the following: combined event rate or event free 
survival; death; Acute Myocardial Infarction (AMI); Target Vessel 
Revascularization (TVR); repeat treatment (PTCA, stent or CABG) 
Radiological: Binary restenosis (greater than 50%); Late loss 
Economic: Utility weights related to clinical outcomes 
Quality of life 
","Percutaneous Transluminal Coronary Angioplasty, drug-eluting stent, Coronary Artery Bypass Graft "
